ID,utt_id,wav,wav_format,text,duration,speaker,gender,accent
0,vctk#wav48_silence_trimmed/p225/p225_001_mic1,$data_root/wav48_silence_trimmed/p225/p225_001_mic1.flac,flac,,2.0515416666666666,VCTK_p225,,english
1,vctk#wav48_silence_trimmed/p225/p225_001_mic2,$data_root/wav48_silence_trimmed/p225/p225_001_mic2.flac,flac,,2.0515416666666666,VCTK_p225,,english
2,vctk#wav48_silence_trimmed/p225/p225_002_mic1,$data_root/wav48_silence_trimmed/p225/p225_002_mic1.flac,flac,,3.9386666666666668,VCTK_p225,,english
3,vctk#wav48_silence_trimmed/p225/p225_002_mic2,$data_root/wav48_silence_trimmed/p225/p225_002_mic2.flac,flac,,3.9386666666666668,VCTK_p225,,english
4,vctk#wav48_silence_trimmed/p225/p225_003_mic1,$data_root/wav48_silence_trimmed/p225/p225_003_mic1.flac,flac,,7.588166666666667,VCTK_p225,,english
5,vctk#wav48_silence_trimmed/p225/p225_003_mic2,$data_root/wav48_silence_trimmed/p225/p225_003_mic2.flac,flac,,7.588166666666667,VCTK_p225,,english
6,vctk#wav48_silence_trimmed/p225/p225_004_mic1,$data_root/wav48_silence_trimmed/p225/p225_004_mic1.flac,flac,,4.411291666666667,VCTK_p225,,english
7,vctk#wav48_silence_trimmed/p225/p225_004_mic2,$data_root/wav48_silence_trimmed/p225/p225_004_mic2.flac,flac,,4.411291666666667,VCTK_p225,,english
8,vctk#wav48_silence_trimmed/p225/p225_005_mic1,$data_root/wav48_silence_trimmed/p225/p225_005_mic1.flac,flac,,6.322666666666667,VCTK_p225,,english
9,vctk#wav48_silence_trimmed/p225/p225_005_mic2,$data_root/wav48_silence_trimmed/p225/p225_005_mic2.flac,flac,,6.322666666666667,VCTK_p225,,english
10,vctk#wav48_silence_trimmed/p225/p225_006_mic1,$data_root/wav48_silence_trimmed/p225/p225_006_mic1.flac,flac,,7.183166666666667,VCTK_p225,,english
11,vctk#wav48_silence_trimmed/p225/p225_006_mic2,$data_root/wav48_silence_trimmed/p225/p225_006_mic2.flac,flac,,7.183166666666667,VCTK_p225,,english
12,vctk#wav48_silence_trimmed/p225/p225_007_mic1,$data_root/wav48_silence_trimmed/p225/p225_007_mic1.flac,flac,,5.622708333333334,VCTK_p225,,english
13,vctk#wav48_silence_trimmed/p225/p225_007_mic2,$data_root/wav48_silence_trimmed/p225/p225_007_mic2.flac,flac,,5.622708333333334,VCTK_p225,,english
14,vctk#wav48_silence_trimmed/p225/p225_008_mic1,$data_root/wav48_silence_trimmed/p225/p225_008_mic1.flac,flac,,7.647583333333333,VCTK_p225,,english
15,vctk#wav48_silence_trimmed/p225/p225_008_mic2,$data_root/wav48_silence_trimmed/p225/p225_008_mic2.flac,flac,,7.647583333333333,VCTK_p225,,english
16,vctk#wav48_silence_trimmed/p225/p225_009_mic1,$data_root/wav48_silence_trimmed/p225/p225_009_mic1.flac,flac,,5.284125,VCTK_p225,,english
17,vctk#wav48_silence_trimmed/p225/p225_009_mic2,$data_root/wav48_silence_trimmed/p225/p225_009_mic2.flac,flac,,5.284125,VCTK_p225,,english
18,vctk#wav48_silence_trimmed/p225/p225_010_mic1,$data_root/wav48_silence_trimmed/p225/p225_010_mic1.flac,flac,,3.22625,VCTK_p225,,english
19,vctk#wav48_silence_trimmed/p225/p225_010_mic2,$data_root/wav48_silence_trimmed/p225/p225_010_mic2.flac,flac,,3.22625,VCTK_p225,,english
20,vctk#wav48_silence_trimmed/p225/p225_011_mic1,$data_root/wav48_silence_trimmed/p225/p225_011_mic1.flac,flac,,6.82125,VCTK_p225,,english
21,vctk#wav48_silence_trimmed/p225/p225_011_mic2,$data_root/wav48_silence_trimmed/p225/p225_011_mic2.flac,flac,,6.82125,VCTK_p225,,english
22,vctk#wav48_silence_trimmed/p225/p225_012_mic1,$data_root/wav48_silence_trimmed/p225/p225_012_mic1.flac,flac,,6.706375,VCTK_p225,,english
23,vctk#wav48_silence_trimmed/p225/p225_012_mic2,$data_root/wav48_silence_trimmed/p225/p225_012_mic2.flac,flac,,6.706375,VCTK_p225,,english
24,vctk#wav48_silence_trimmed/p225/p225_013_mic1,$data_root/wav48_silence_trimmed/p225/p225_013_mic1.flac,flac,,4.718708333333334,VCTK_p225,,english
25,vctk#wav48_silence_trimmed/p225/p225_013_mic2,$data_root/wav48_silence_trimmed/p225/p225_013_mic2.flac,flac,,4.718708333333334,VCTK_p225,,english
26,vctk#wav48_silence_trimmed/p225/p225_014_mic1,$data_root/wav48_silence_trimmed/p225/p225_014_mic1.flac,flac,,5.4442916666666665,VCTK_p225,,english
27,vctk#wav48_silence_trimmed/p225/p225_014_mic2,$data_root/wav48_silence_trimmed/p225/p225_014_mic2.flac,flac,,5.4442916666666665,VCTK_p225,,english
28,vctk#wav48_silence_trimmed/p225/p225_016_mic1,$data_root/wav48_silence_trimmed/p225/p225_016_mic1.flac,flac,,6.7348333333333334,VCTK_p225,,english
29,vctk#wav48_silence_trimmed/p225/p225_016_mic2,$data_root/wav48_silence_trimmed/p225/p225_016_mic2.flac,flac,,6.7348333333333334,VCTK_p225,,english
30,vctk#wav48_silence_trimmed/p225/p225_017_mic1,$data_root/wav48_silence_trimmed/p225/p225_017_mic1.flac,flac,,4.241916666666667,VCTK_p225,,english
31,vctk#wav48_silence_trimmed/p225/p225_017_mic2,$data_root/wav48_silence_trimmed/p225/p225_017_mic2.flac,flac,,4.241916666666667,VCTK_p225,,english
32,vctk#wav48_silence_trimmed/p225/p225_018_mic1,$data_root/wav48_silence_trimmed/p225/p225_018_mic1.flac,flac,,5.500916666666667,VCTK_p225,,english
33,vctk#wav48_silence_trimmed/p225/p225_018_mic2,$data_root/wav48_silence_trimmed/p225/p225_018_mic2.flac,flac,,5.500916666666667,VCTK_p225,,english
34,vctk#wav48_silence_trimmed/p225/p225_019_mic1,$data_root/wav48_silence_trimmed/p225/p225_019_mic1.flac,flac,,7.170625,VCTK_p225,,english
35,vctk#wav48_silence_trimmed/p225/p225_019_mic2,$data_root/wav48_silence_trimmed/p225/p225_019_mic2.flac,flac,,7.170625,VCTK_p225,,english
36,vctk#wav48_silence_trimmed/p225/p225_020_mic1,$data_root/wav48_silence_trimmed/p225/p225_020_mic1.flac,flac,,6.034458333333333,VCTK_p225,,english
37,vctk#wav48_silence_trimmed/p225/p225_020_mic2,$data_root/wav48_silence_trimmed/p225/p225_020_mic2.flac,flac,,6.034458333333333,VCTK_p225,,english
38,vctk#wav48_silence_trimmed/p225/p225_021_mic1,$data_root/wav48_silence_trimmed/p225/p225_021_mic1.flac,flac,,9.032708333333334,VCTK_p225,,english
39,vctk#wav48_silence_trimmed/p225/p225_021_mic2,$data_root/wav48_silence_trimmed/p225/p225_021_mic2.flac,flac,,9.032708333333334,VCTK_p225,,english
40,vctk#wav48_silence_trimmed/p225/p225_022_mic1,$data_root/wav48_silence_trimmed/p225/p225_022_mic1.flac,flac,,7.015375,VCTK_p225,,english
41,vctk#wav48_silence_trimmed/p225/p225_022_mic2,$data_root/wav48_silence_trimmed/p225/p225_022_mic2.flac,flac,,7.015375,VCTK_p225,,english
42,vctk#wav48_silence_trimmed/p225/p225_023_mic1,$data_root/wav48_silence_trimmed/p225/p225_023_mic1.flac,flac,,12.154541666666667,VCTK_p225,,english
43,vctk#wav48_silence_trimmed/p225/p225_023_mic2,$data_root/wav48_silence_trimmed/p225/p225_023_mic2.flac,flac,,12.154541666666667,VCTK_p225,,english
44,vctk#wav48_silence_trimmed/p225/p225_024_mic1,$data_root/wav48_silence_trimmed/p225/p225_024_mic1.flac,flac,,7.362583333333333,VCTK_p225,,english
45,vctk#wav48_silence_trimmed/p225/p225_024_mic2,$data_root/wav48_silence_trimmed/p225/p225_024_mic2.flac,flac,,7.362583333333333,VCTK_p225,,english
46,vctk#wav48_silence_trimmed/p225/p225_025_mic1,$data_root/wav48_silence_trimmed/p225/p225_025_mic1.flac,flac,,2.92025,VCTK_p225,,english
47,vctk#wav48_silence_trimmed/p225/p225_025_mic2,$data_root/wav48_silence_trimmed/p225/p225_025_mic2.flac,flac,,2.92025,VCTK_p225,,english
48,vctk#wav48_silence_trimmed/p225/p225_026_mic1,$data_root/wav48_silence_trimmed/p225/p225_026_mic1.flac,flac,,1.9574166666666666,VCTK_p225,,english
49,vctk#wav48_silence_trimmed/p225/p225_026_mic2,$data_root/wav48_silence_trimmed/p225/p225_026_mic2.flac,flac,,1.9574166666666666,VCTK_p225,,english
50,vctk#wav48_silence_trimmed/p225/p225_027_mic1,$data_root/wav48_silence_trimmed/p225/p225_027_mic1.flac,flac,,2.63175,VCTK_p225,,english
51,vctk#wav48_silence_trimmed/p225/p225_027_mic2,$data_root/wav48_silence_trimmed/p225/p225_027_mic2.flac,flac,,2.63175,VCTK_p225,,english
